,img_names,h1,h2,h3,h4,h5,h6,h7
0,Avion,[0.2611469396743181],[0.02123940034485185],[0.005727710400772957],[0.002820302099237766],[1.1334572881881541e-05],[0.0004090913421083524],[-1.30566539792301e-07]
1,Bailarina,[0.43641584734357064],[0.12305492846984911],[0.006766076352959936],[0.0025177944638197225],[1.0048262433877036e-05],[0.0008215701440523112],[-2.650650310204315e-06]
2,Ballet,[0.4054567435018676],[0.01109892560084392],[0.06950459563478632],[0.004012908172635384],[-5.073897919649871e-05],[6.880408548354667e-05],[4.378417228383214e-05]
3,Mariposa,[0.3738466431470305],[0.00597622793653346],[0.008058957612205465],[0.00044759155566312153],[-8.464533147401674e-07],[-3.452590399109121e-05],[-7.849198606665296e-08]
4,Mujer,[0.3110854474660849],[0.046731896278141144],[0.004186461959076654],[0.0004199008472732549],[5.200158119283853e-07],[8.831082860208567e-05],[1.9882286178959125e-07]
5,Paloma,[0.26841356637647884],[0.006059172451548599],[0.00468428382384936],[0.0007673047209099592],[-1.4233550042641206e-06],[-4.2966337833159276e-05],[3.0035362896048813e-07]
6,Patada,[0.3630970033417876],[0.0006060024100757802],[0.05974552285999236],[0.00393694772903623],[-3.299735787648715e-05],[8.07671573497945e-05],[-5.056582621116331e-05]
7,Pez,[0.5666601882080506],[0.12418934233961476],[0.04738280473889533],[0.007344192641949764],[4.782934126460054e-05],[-0.0004113901732345662],[0.00012838171417837847]
